transaction_id,date,raw_text,clean_keyword,category,subcategory,label,amount,type,noise_type
TXN0592244121,2025-01-13,CONTACTLESS UTILITY CHIP062,utility,Bills & Utilities,Water,Bills & Utilities > Water,32.46,debit,clean_template
TXN4455188469,2025-02-02,PAYPAL *RESTAURANT 350,restaurant,Food & Dining,Restaurants,Food & Dining > Restaurants,86.15,debit,clean_template
TXN7923461716,2025-06-23,ACHCASH APPS ECURE,cash app,Income,Transfers,Income > Transfers,1437.26,credit,heavy_noise
TXN9092426733,2025-05-25,9AQUA,aqua,Bills & Utilities,Water,Bills & Utilities > Water,68.88,debit,typo_light
TXN6715564227,2025-11-18,POS PURCHASE PARKING EAST NICHOLAS,parking,Transportation,Parking,Transportation > Parking,25.64,debit,clean_template
TXN8983899082,2025-04-15,ow8 SAFEWAY STORE 246,safeway,Food & Dining,Groceries,Food & Dining > Groceries,104.06,debit,clean_template
TXN8009964878,2025-01-05,STARBUCKS * 04dB62,starbucks,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,10.6,debit,clean_template
TXN1628161903,2025-03-05,RECURRING BUS JUNE,bus,Transportation,Public Transit,Transportation > Public Transit,9.89,debit,clean_template
TXN5343448210,2025-11-11,Ec7 BUER STORE 148,uber,Transportation,Rideshare,Transportation > Rideshare,10.9,debit,typo_light
TXN0879057419,2025-10-15,SEARS * 5s8c53,sears,Shopping,Department Stores,Shopping > Department Stores,344.67,debit,typo_light
TXN3077722922,2024-12-24,MCDONALDS 11/14d AUTH919,mcdonalds,Food & Dining,Restaurants,Food & Dining > Restaurants,133.68,debit,typo_light
TXN1360774482,2024-11-24,ACHA DIDAS AL 2580,adidas,Shopping,Clothing,Shopping > Clothing,171.06,debit,heavy_noise
TXN9795830866,2025-09-05,TRAI N*6 0EL95 893iS,train,Transportation,Public Transit,Transportation > Public Transit,4.85,debit,heavy_noise
TXN7810924185,2025-08-19,AUTH jo4 ESPRESSO STORE 311,espresso,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,6.16,debit,heavy_template
TXN3627890620,2025-07-25,CASH APP * 22nt57,cash app,Income,Transfers,Income > Transfers,56.89,credit,heavy_template
TXN8754587134,2025-10-31,RECURRING PARKING NOVEMBER,parking,Transportation,Parking,Transportation > Parking,19.63,debit,clean_template
TXN0585066287,2025-11-22,Fidelity 2025-04-29,fidelity,Income,Investments,Income > Investments,311.27,credit,heavy_template
TXN9796599688,2025-09-15,978 EvDISON INV9252,edison,Bills & Utilities,Electricity,Bills & Utilities > Electricity,282.08,debit,typo_light
TXN5146953058,2025-04-20,Lot 2025-06-27,lot,Transportation,Parking,Transportation > Parking,43.24,debit,clean_template
TXN3548116692,2025-03-30,MACYS,macys,Shopping,Department Stores,Shopping > Department Stores,190.2,debit,clean_template
TXN7044347301,2025-04-06,PENDING Lyft 2025-09-02 PENDING,lyft,Transportation,Rideshare,Transportation > Rideshare,17.79,debit,heavy_template
TXN8991897457,2025-05-28,CHK INTL INVESTMENT ST FEE89 ID:579,investment,Income,Investments,Income > Investments,86.87,credit,heavy_template
TXN9594849756,2025-06-13,AUTH Bp2 DIRECT DEPOSIT STORE 299 ID:161,direct deposit,Income,Salary,Income > Salary,9115.66,credit,heavy_template
TXN0703909331,2025-06-03,INTL RESTAURANT GA FEE53,restaurant,Food & Dining,Restaurants,Food & Dining > Restaurants,55.47,debit,clean_template
TXN4220107328,2025-04-02,PAYPAL *TARGET 233,target,Shopping,Department Stores,Shopping > Department Stores,183.35,debit,clean_template
TXN0171695618,2025-03-18,CHK VERIZON * 84pq14 REF:KN08,verizon,Bills & Utilities,Internet,Bills & Utilities > Internet,106.43,debit,heavy_template
TXN1523522023,2025-07-25,PENDING FASHION PENDING,fashion,Shopping,Clothing,Shopping > Clothing,163.8,debit,heavy_template
TXN8479685299,2025-06-17,TFR FASHyION 018Dy,fashion,Shopping,Clothing,Shopping > Clothing,75.82,debit,heavy_noise
TXN3770930969,2025-03-15,INTL COSTA ST FEE01,costa,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,8.3,debit,clean_template
TXN5851444002,2024-12-02,ONLINE PAYMENT SOLARw 0174060,solar,Bills & Utilities,Electricity,Bills & Utilities > Electricity,129.06,debit,typo_light
TXN7025720709,2025-06-26,AUTH PAYPAL *RESTAURANT 338,restaurant,Food & Dining,Restaurants,Food & Dining > Restaurants,75.92,debit,heavy_template
TXN2822036566,2025-01-06,CONTACTLESS CELL CHIP724,cell,Bills & Utilities,Phone,Bills & Utilities > Phone,146.61,debit,clean_template
TXN8126380716,2024-12-06,CHK INTL ARBYS BW FEE01,arbys,Food & Dining,Fast Food,Food & Dining > Fast Food,13.76,debit,heavy_template
TXN0433284186,2025-07-22,CHECKCARD 2025-06-18 VENMO,venmo,Income,Transfers,Income > Transfers,1066.88,credit,clean_template
TXN8556750321,2024-12-07,ONLINE PAYMENT CLOTHING 9070008,clothing,Shopping,Clothing,Shopping > Clothing,72.79,debit,clean_template
TXN0211102203,2025-07-07,382 PAYPAL INV0318,paypal,Income,Transfers,Income > Transfers,673.87,credit,clean_template
TXN9444259394,2025-03-24,MOBILE WALMART APP 041,walmart,Food & Dining,Groceries,Food & Dining > Groceries,246.85,debit,typo_light
TXN9712464973,2024-11-24,ENER8GY SC 49261,energy,Bills & Utilities,Electricity,Bills & Utilities > Electricity,186.45,debit,typo_light
TXN2311932953,2025-04-06,CAFE,cafe,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,5.42,debit,clean_template
TXN2087083712,2025-04-02,COSTA 11/21 AUT8H75,costa,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,6.13,debit,typo_light
TXN0859459023,2025-05-30,CHECKCARD 2025-09-12 SUBWAY,subway,Food & Dining,Fast Food,Food & Dining > Fast Food,13.29,debit,clean_template
TXN8808854870,2024-11-22,RECURRING ONLINE MARCH,online,Shopping,E-Commerce,Shopping > E-Commerce,292.86,debit,clean_template
TXN7470492093,2025-05-14,VERIZON AL 27197,verizon,Bills & Utilities,Internet,Bills & Utilities > Internet,63.22,debit,clean_template
TXN3980420205,2025-05-14,Garage 202-10-05,garage,Transportation,Parking,Transportation > Parking,38.22,debit,typo_light
TXN9285679073,2025-01-01,CHK KFC PW 70856 PENDING,kfc,Food & Dining,Fast Food,Food & Dining > Fast Food,16.29,debit,heavy_template
